epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5624,0.53143,6.99528,0.23502,0.43743,1.08282,0.99803,1,0.995,0.89638,0.46582,0.46667,0.36585,0.07324,0.53903,5.16888,0.23741,0.40848,0.79809,0.00026,0.00026,0.00026
2,50.2958,0.43084,4.85425,0.21335,0.35466,1.03216,0.99822,1,0.995,0.90748,0.53307,0.53333,0.44782,0.07434,0.56681,4.76468,0.23919,0.38404,0.82661,0.000534654,0.000534654,0.000534654
3,74.5051,0.40602,4.74955,0.20627,0.33994,1.00732,0.99776,1,0.995,0.92808,0.18386,0.16667,0.10485,0.02443,0.40096,5.71575,0.25097,0.37491,0.72369,0.000803764,0.000803764,0.000803764
4,111.073,0.40928,4.69795,0.23297,0.35514,1.0077,0.99786,1,0.995,0.94266,0.20829,0.2,0.19962,0.0333,0.36919,6.54079,0.24873,0.4123,0.68598,0.00106733,0.00106733,0.00106733
5,134.527,0.45933,4.66895,0.21251,0.36936,1.03331,0.99462,1,0.995,0.90726,0.60356,0.6,0.50044,0.10912,0.48097,4.24389,0.20154,0.51607,0.74626,0.00132535,0.00132535,0.00132535
6,162.316,0.5077,5.07042,0.21905,0.39866,1.04631,0.87509,0.93409,0.95461,0.81471,0.25469,0.26667,0.15844,0.03137,0.69349,6.26124,0.23515,0.65543,1.01036,0.00157783,0.00157783,0.00157783
7,186.188,0.49569,4.77399,0.2163,0.3859,1.05214,0.84027,1,0.92752,0.75121,0.36403,0.4,0.17791,0.02735,0.6499,5.28516,0.22791,1.0123,1.21855,0.00182476,0.00182476,0.00182476
8,207.583,0.46961,4.65268,0.21543,0.39687,1.06099,0.99827,1,0.995,0.90446,0.16644,0.16667,0.06538,0.01065,0.49704,6.98103,0.22825,0.59096,0.71224,0.0018614,0.0018614,0.0018614
9,244.424,0.47095,4.87655,0.21797,0.40978,1.0523,0.98976,1,0.995,0.9158,0.59385,0.6,0.39619,0.07743,0.40475,4.47137,0.17368,0.70202,0.65424,0.0018416,0.0018416,0.0018416
10,273.477,0.4513,4.34734,0.20184,0.39225,1.00857,0.9671,1,0.995,0.90338,0.45014,0.46667,0.34288,0.09286,0.47063,4.98561,0.18168,0.57635,0.72287,0.0018218,0.0018218,0.0018218
11,299.759,0.41598,4.10247,0.20567,0.37251,0.99986,0.96744,1,0.995,0.89971,0.16127,0.16667,0.07184,0.02091,0.46203,6.02006,0.20406,0.64544,0.76728,0.001802,0.001802,0.001802
12,327.195,0.38411,4.05176,0.21733,0.35617,0.99349,0.99819,1,0.995,0.91496,0.14913,0.13333,0.09913,0.01408,0.45716,6.95462,0.2371,0.48359,0.75876,0.0017822,0.0017822,0.0017822
