epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.094,1.80271,0.93161,1.0461,0.80395,0.58511,0.70294,0.30713,2.15676,1.61107,1.05133,0.002,0.002,0.002
2,449.028,1.93644,1.05136,1.04055,0.88918,0.64017,0.74356,0.31788,2.16031,1.24519,1.04856,0.001802,0.001802,0.001802
3,654.536,1.95205,1.07113,1.05295,0.84444,0.54255,0.63835,0.28928,2.18404,1.7211,1.05619,0.001604,0.001604,0.001604
4,859.95,1.83894,1.02691,1.04086,0.83363,0.54255,0.66341,0.307,2.10129,1.76006,1.0488,0.001406,0.001406,0.001406
5,1065.88,1.79758,0.97547,1.03917,0.80675,0.57737,0.64759,0.29062,2.14411,1.54752,1.0465,0.001208,0.001208,0.001208
6,1271.29,1.76713,0.94361,1.02795,0.88287,0.60143,0.7201,0.33483,2.05972,1.42409,1.03272,0.00101,0.00101,0.00101
7,1476.92,1.711,0.92519,1.03099,0.87974,0.62256,0.74464,0.35379,2.01228,1.38145,1.0303,0.000812,0.000812,0.000812
8,1681.99,1.71069,0.85381,1.0259,0.821,0.68314,0.77477,0.34168,2.09749,1.27002,1.04026,0.000614,0.000614,0.000614
9,1887.32,1.70763,0.83505,1.01719,0.89324,0.71204,0.7925,0.37649,1.9808,1.28326,1.02729,0.000416,0.000416,0.000416
10,2092.49,1.69275,0.84508,1.02242,0.86372,0.68085,0.75239,0.34647,2.04326,1.26553,1.03428,0.000218,0.000218,0.000218
