epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.845,0.73565,0.68368,0.86055,0.9658,0.92921,0.97759,0.68645,0.81388,0.76444,0.8678,0.00084,0.00084,0.00084
2,190.962,0.77385,0.73685,0.86333,0.9508,0.92248,0.96874,0.67603,0.79847,0.8111,0.85962,0.00149593,0.00149593,0.00149593
3,277.259,0.81103,0.76648,0.86841,0.9501,0.91316,0.96535,0.658,0.82458,0.8787,0.86479,0.00148377,0.00148377,0.00148377
4,363.532,0.79946,0.76585,0.86846,0.94858,0.88734,0.96121,0.66412,0.79536,0.80407,0.86491,0.00146366,0.00146366,0.00146366
5,449.126,0.79644,0.76043,0.86743,0.94287,0.92972,0.96961,0.67014,0.8295,0.82642,0.86409,0.00143581,0.00143581,0.00143581
6,535.678,0.7846,0.75484,0.86748,0.96061,0.93084,0.97597,0.68354,0.77614,0.78793,0.85809,0.00140052,0.00140052,0.00140052
7,621.333,0.79626,0.7526,0.86723,0.96667,0.922,0.97558,0.69208,0.77468,0.77561,0.85832,0.0013582,0.0013582,0.0013582
8,707.851,0.78838,0.74771,0.86537,0.96801,0.91244,0.97305,0.6753,0.8186,0.79742,0.86448,0.00130929,0.00130929,0.00130929
9,793.464,0.77782,0.73602,0.86437,0.95764,0.92033,0.96682,0.6878,0.78683,0.79056,0.86396,0.00125433,0.00125433,0.00125433
10,878.309,0.76837,0.73099,0.86335,0.96545,0.91944,0.97176,0.66596,0.81515,0.79105,0.85892,0.00119393,0.00119393,0.00119393
11,962.962,0.77163,0.72843,0.86298,0.964,0.91913,0.97106,0.68432,0.79958,0.79151,0.85941,0.00112875,0.00112875,0.00112875
12,1047.51,0.75938,0.71878,0.8625,0.96252,0.91673,0.97635,0.68816,0.77951,0.77899,0.86093,0.0010595,0.0010595,0.0010595
13,1133.72,0.74399,0.71024,0.86152,0.96237,0.9208,0.97677,0.69919,0.76002,0.77025,0.85811,0.000986945,0.000986945,0.000986945
14,1220.75,0.74214,0.70587,0.86009,0.95458,0.93775,0.97587,0.70583,0.74539,0.75468,0.85449,0.000911874,0.000911874,0.000911874
15,1309.92,0.75126,0.70828,0.86144,0.96592,0.91299,0.9766,0.68209,0.83057,0.76987,0.8628,0.000835112,0.000835112,0.000835112
16,1398.26,0.72905,0.68493,0.85966,0.97762,0.92574,0.9771,0.7086,0.75144,0.74041,0.85399,0.0007575,0.0007575,0.0007575
17,1489.21,0.72052,0.68354,0.85795,0.96945,0.92045,0.97599,0.70508,0.76418,0.74079,0.85844,0.000679888,0.000679888,0.000679888
18,1576.35,0.72823,0.68667,0.85905,0.96882,0.92694,0.97833,0.72077,0.72138,0.70885,0.85431,0.000603126,0.000603126,0.000603126
19,1667.83,0.70234,0.66714,0.85684,0.97568,0.92582,0.98009,0.7132,0.7428,0.72202,0.85271,0.000528055,0.000528055,0.000528055
20,1753.73,0.70058,0.66251,0.85535,0.95796,0.94055,0.97909,0.72028,0.73479,0.70789,0.85216,0.000455498,0.000455498,0.000455498
21,1846.97,0.66052,0.63231,0.84968,0.97332,0.93594,0.98208,0.72532,0.72389,0.70942,0.85272,0.00038625,0.00038625,0.00038625
22,1931.35,0.6515,0.62381,0.84734,0.97135,0.92917,0.97952,0.72365,0.72,0.70534,0.85302,0.000321069,0.000321069,0.000321069
23,2015.04,0.63903,0.61467,0.84526,0.96876,0.92805,0.97884,0.72224,0.72199,0.69245,0.85198,0.000260671,0.000260671,0.000260671
24,2098.07,0.63351,0.60669,0.84556,0.97817,0.92486,0.97954,0.72972,0.7016,0.68126,0.85034,0.000205715,0.000205715,0.000205715
25,2181.83,0.62624,0.59938,0.84467,0.98057,0.92415,0.97831,0.73148,0.7026,0.68547,0.85092,0.000156805,0.000156805,0.000156805
26,2264.86,0.62106,0.59637,0.84413,0.97763,0.92415,0.97933,0.72904,0.70261,0.68544,0.85006,0.000114476,0.000114476,0.000114476
27,2348.41,0.61455,0.58999,0.84445,0.97881,0.92731,0.97983,0.73105,0.69844,0.67652,0.85014,7.91925e-05,7.91925e-05,7.91925e-05
28,2432.94,0.61132,0.58725,0.84166,0.9749,0.93139,0.98021,0.7362,0.69838,0.68119,0.85005,5.13405e-05,5.13405e-05,5.13405e-05
29,2518.91,0.60906,0.58531,0.84201,0.98077,0.92526,0.98075,0.73273,0.69932,0.67428,0.85044,3.12254e-05,3.12254e-05,3.12254e-05
30,2601.52,0.60765,0.58285,0.84173,0.97709,0.92785,0.97971,0.73243,0.70203,0.67664,0.85044,1.90675e-05,1.90675e-05,1.90675e-05
