epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.475,2.17619,1.53233,1.02563,0.64226,0.53191,0.56423,0.22053,2.31256,1.72607,1.07734,0.002,0.002,0.002
2,542.916,2.0508,1.43166,1.01632,0.71622,0.53191,0.60869,0.24935,2.12284,1.50744,1.04557,0.001802,0.001802,0.001802
3,795.172,1.96314,1.31255,0.98805,0.88079,0.58952,0.69655,0.31444,2.05001,1.37646,1.03239,0.001604,0.001604,0.001604
4,1048.46,1.92998,1.29154,0.97791,0.8525,0.52263,0.62023,0.2759,2.10247,1.64469,1.03453,0.001406,0.001406,0.001406
5,1301.75,1.89491,1.26697,0.98954,0.80496,0.59273,0.65166,0.29552,2.10323,1.46757,1.04375,0.001208,0.001208,0.001208
6,1555.07,1.83192,1.12489,0.98387,0.82486,0.57619,0.66681,0.30429,2.07773,1.5353,1.03265,0.00101,0.00101,0.00101
7,1808.37,1.87459,1.10639,1.00973,0.8531,0.6117,0.66758,0.29699,2.04097,1.44549,1.0262,0.000812,0.000812,0.000812
8,2061.85,1.79748,1.05608,0.94965,0.78723,0.62976,0.68609,0.30621,2.00149,1.34317,1.01788,0.000614,0.000614,0.000614
9,2315.27,1.75986,1.05042,0.96476,0.86247,0.63381,0.69586,0.31745,1.99437,1.47719,1.02072,0.000416,0.000416,0.000416
10,2570.29,1.75375,0.96603,0.96387,0.80098,0.62766,0.67434,0.31599,1.94666,1.47033,1.01575,0.000218,0.000218,0.000218
