epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,692.93,0.23917,2.50257,0.14949,0.23815,0.89815,0.99764,1,0.995,0.9193,0.93109,0.93333,0.93698,0.47151,0.4397,2.39813,0.14317,0.29298,0.73498,0.0014654,0.0014654,0.0014654
29,720.265,0.2518,2.4978,0.14407,0.22745,0.90087,0.99824,1,0.995,0.92269,0.99824,1,0.995,0.55013,0.46219,2.12612,0.13806,0.31966,0.74442,0.0014456,0.0014456,0.0014456
30,746.382,0.23036,2.30276,0.14286,0.21901,0.89641,1,1,0.995,0.95075,0.96667,0.96667,0.96007,0.47058,0.38377,2.29429,0.13115,0.25628,0.6836,0.0014258,0.0014258,0.0014258
31,767.793,0.22939,2.51879,0.14575,0.21627,0.89298,0.99824,1,0.995,0.9408,0.93169,0.93333,0.90345,0.39303,0.3785,2.60428,0.14219,0.30962,0.66617,0.001406,0.001406,0.001406
32,794.611,0.22833,2.33603,0.13547,0.21199,0.87937,1,1,0.995,0.93426,0.93333,0.93333,0.94307,0.42666,0.36647,2.40498,0.14068,0.28156,0.67753,0.0013862,0.0013862,0.0013862
33,821.979,0.20576,2.21888,0.14301,0.20538,0.88359,1,1,0.995,0.94681,1,1,0.995,0.55153,0.3446,2.13455,0.13194,0.26303,0.65835,0.0013664,0.0013664,0.0013664
34,843.601,0.21175,2.14508,0.13246,0.19956,0.91275,0.99273,1,0.995,0.95477,0.82715,0.83333,0.76234,0.36903,0.34234,2.89336,0.15936,0.29344,0.65178,0.0013466,0.0013466,0.0013466
35,867.118,0.21112,2.30153,0.14042,0.20596,0.88441,0.99699,1,0.995,0.96583,0.93099,0.93333,0.96015,0.36726,0.37408,2.81984,0.1577,0.30411,0.67012,0.0013268,0.0013268,0.0013268
36,903.225,0.22215,2.29995,0.14136,0.2046,0.89295,1,1,0.995,0.94769,0.9,0.9,0.91314,0.50693,0.39241,2.4641,0.15451,0.30013,0.68609,0.001307,0.001307,0.001307
37,925.642,0.24361,2.27686,0.14399,0.21713,0.89674,1,1,0.995,0.92677,1,1,0.995,0.6046,0.38441,2.11281,0.13536,0.29631,0.69616,0.0012872,0.0012872,0.0012872
38,955.443,0.23125,2.22465,0.13947,0.21854,0.89962,0.99823,1,0.995,0.93611,0.93168,0.93333,0.94795,0.46317,0.36854,2.35541,0.14151,0.26342,0.67061,0.0012674,0.0012674,0.0012674
39,979.074,0.22199,2.25183,0.14197,0.20151,0.90758,0.99824,1,0.995,0.92616,0.93169,0.93333,0.9492,0.4593,0.35513,2.40812,0.13451,0.27514,0.662,0.0012476,0.0012476,0.0012476
40,1002.97,0.20317,2.05995,0.14324,0.19071,0.88906,1,1,0.995,0.96292,0.93333,0.93333,0.93194,0.56434,0.33098,2.01802,0.1314,0.25506,0.63829,0.0012278,0.0012278,0.0012278
41,1024.87,0.21174,2.0374,0.14259,0.1986,0.89077,1,1,0.995,0.9568,1,1,0.995,0.57798,0.34874,1.98775,0.13119,0.25934,0.65461,0.001208,0.001208,0.001208
42,1052.72,0.21298,2.17071,0.14917,0.20081,0.8771,0.99822,1,0.995,0.96504,0.99822,1,0.995,0.5351,0.35177,2.09027,0.13485,0.28651,0.64235,0.0011882,0.0011882,0.0011882
43,1077.65,0.21659,1.98512,0.1443,0.2044,0.88003,0.99733,1,0.995,0.9782,0.99733,1,0.995,0.54252,0.30849,1.94952,0.13477,0.2375,0.62907,0.0011684,0.0011684,0.0011684
44,1102.7,0.20383,2.0024,0.13622,0.19268,0.8914,1,1,0.995,0.94674,1,1,0.995,0.58477,0.35016,1.90156,0.13939,0.27239,0.67243,0.0011486,0.0011486,0.0011486
45,1130.53,0.21606,2.11027,0.13841,0.19669,0.88779,1,1,0.995,0.95995,0.93333,0.93333,0.91882,0.53772,0.36513,2.11224,0.15098,0.29925,0.6934,0.0011288,0.0011288,0.0011288
46,1156.5,0.1984,2.30278,0.13592,0.19619,0.87897,1,1,0.995,0.9385,1,1,0.995,0.53956,0.36551,1.96313,0.14086,0.25212,0.64075,0.001109,0.001109,0.001109
47,1181.42,0.20776,2.08294,0.14782,0.20652,0.86704,0.99584,1,0.995,0.94294,0.99584,1,0.995,0.56282,0.32536,2.19215,0.14853,0.26991,0.63217,0.0010892,0.0010892,0.0010892
48,1209.05,0.20181,2.01293,0.14286,0.19826,0.88132,0.99822,1,0.995,0.94552,0.99822,1,0.995,0.60207,0.34467,1.9155,0.13334,0.25499,0.64654,0.0010694,0.0010694,0.0010694
49,1237.91,0.202,2.05345,0.14783,0.19235,0.87092,1,1,0.995,0.97179,1,1,0.995,0.5826,0.30709,1.99997,0.13315,0.23744,0.60768,0.0010496,0.0010496,0.0010496
50,1269.75,0.19775,1.88484,0.14492,0.1841,0.88435,0.9982,1,0.995,0.93531,0.9982,1,0.995,0.55731,0.37444,2.13181,0.14268,0.25076,0.69101,0.0010298,0.0010298,0.0010298
51,1291.47,0.19883,1.85869,0.13989,0.18826,0.85917,0.99823,1,0.995,0.95866,0.99823,1,0.995,0.57748,0.34868,2.04606,0.13792,0.24621,0.65015,0.00101,0.00101,0.00101
52,1316.43,0.2025,1.93647,0.14098,0.19519,0.88068,0.99798,1,0.995,0.9646,0.96471,0.96667,0.96802,0.53383,0.33592,2.3368,0.13546,0.24859,0.61337,0.0009902,0.0009902,0.0009902
53,1344.05,0.19315,1.8294,0.13669,0.18551,0.87241,0.9969,1,0.995,0.95562,0.9969,1,0.995,0.57166,0.32715,2.09138,0.13828,0.24775,0.63911,0.0009704,0.0009704,0.0009704
54,1369.02,0.19768,1.91174,0.14686,0.18268,0.87726,1,1,0.995,0.97643,1,1,0.995,0.61157,0.32393,1.84796,0.12855,0.24203,0.65271,0.0009506,0.0009506,0.0009506
55,1397.39,0.17709,1.78819,0.14152,0.17867,0.85936,1,1,0.995,0.96732,1,1,0.995,0.62489,0.32658,1.75075,0.13111,0.23881,0.64136,0.0009308,0.0009308,0.0009308
56,1445.23,0.18743,1.81251,0.13272,0.1785,0.86748,1,1,0.995,0.95406,0.96667,0.96667,0.95473,0.57204,0.34834,1.88523,0.12907,0.23167,0.66012,0.000911,0.000911,0.000911
57,1468.69,0.17415,1.68664,0.13128,0.18117,0.86717,0.99824,1,0.995,0.95699,0.99824,1,0.995,0.63427,0.35292,1.75387,0.13336,0.22338,0.65708,0.0008912,0.0008912,0.0008912
58,1489.96,0.18176,1.85119,0.1422,0.18899,0.86181,0.99825,1,0.995,0.96557,0.99825,1,0.995,0.64294,0.32571,1.8924,0.13072,0.22717,0.62676,0.0008714,0.0008714,0.0008714
59,1526.24,0.18904,1.87154,0.13095,0.19606,0.8853,0.99825,1,0.995,0.9526,0.99825,1,0.995,0.62237,0.33946,1.82562,0.13646,0.23314,0.6287,0.0008516,0.0008516,0.0008516
60,1551.94,0.18146,1.78323,0.13552,0.18219,0.85822,0.9983,1,0.995,0.93851,0.93172,0.93333,0.90709,0.57761,0.36407,1.85016,0.12919,0.22769,0.65172,0.0008318,0.0008318,0.0008318
61,1580.42,0.18436,1.74089,0.14181,0.19244,0.87308,0.99825,1,0.995,0.96012,0.89843,0.9,0.88494,0.60003,0.34042,1.92363,0.13084,0.24164,0.61444,0.000812,0.000812,0.000812
62,1601.85,0.18534,1.85659,0.14184,0.1892,0.88194,1,1,0.995,0.96132,1,1,0.995,0.62832,0.30585,1.78043,0.12886,0.22877,0.5904,0.0007922,0.0007922,0.0007922
63,1628.53,0.18183,1.7551,0.13298,0.18089,0.86914,1,1,0.995,0.96612,1,1,0.995,0.63822,0.30543,1.83503,0.12532,0.22067,0.60987,0.0007724,0.0007724,0.0007724
64,1654.67,0.17672,1.79023,0.13485,0.17509,0.88032,1,1,0.995,0.96549,0.93333,0.93333,0.93507,0.6091,0.31614,1.96269,0.1274,0.23565,0.61319,0.0007526,0.0007526,0.0007526
65,1676.58,0.17799,1.92084,0.13401,0.18172,0.84607,1,1,0.995,0.96413,1,1,0.995,0.63473,0.28915,1.78852,0.12666,0.22384,0.60385,0.0007328,0.0007328,0.0007328
66,1704.81,0.17312,1.78968,0.14194,0.17955,0.86051,0.99828,1,0.995,0.96462,0.99828,1,0.995,0.6363,0.27732,1.77129,0.12715,0.21459,0.60026,0.000713,0.000713,0.000713
67,1726.63,0.17873,1.80163,0.14459,0.17008,0.8634,1,1,0.995,0.95705,1,1,0.995,0.67464,0.29723,1.79797,0.12827,0.22146,0.61517,0.0006932,0.0006932,0.0006932
68,1768.24,0.17515,1.79904,0.13947,0.17157,0.85579,1,1,0.995,0.97159,1,1,0.995,0.65767,0.30421,1.84301,0.13418,0.24825,0.59516,0.0006734,0.0006734,0.0006734
69,1791.76,0.16873,1.70993,0.13377,0.17171,0.86373,1,1,0.995,0.96337,1,1,0.995,0.68745,0.30503,1.68243,0.13143,0.21366,0.60175,0.0006536,0.0006536,0.0006536
70,1823.91,0.17225,1.68667,0.13175,0.16779,0.86471,1,1,0.995,0.98148,1,1,0.995,0.66931,0.27521,1.72582,0.12906,0.2213,0.57517,0.0006338,0.0006338,0.0006338
71,1847.29,0.17178,1.68034,0.1314,0.16478,0.86787,1,1,0.995,0.98066,1,1,0.995,0.65066,0.27905,1.77495,0.13309,0.22874,0.58432,0.000614,0.000614,0.000614
