epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2087,0.16837,1.82896,0.15517,0.16113,0.86825,0.9983,1,0.995,0.97211,0.93174,0.93333,0.93456,0.58304,0.33071,2.03684,0.14073,0.23069,0.62675,0.00026,0.00026,0.00026
2,42.7311,0.21638,2.13582,0.14564,0.19012,0.89668,0.99827,1,0.995,0.92392,0.99827,1,0.995,0.47711,0.42102,2.54042,0.1476,0.28399,0.65634,0.000534654,0.000534654,0.000534654
3,63.1914,0.27984,2.408,0.15,0.23135,0.93394,0.99811,1,0.995,0.95286,0.48288,0.49808,0.39243,0.13851,0.37428,3.92244,0.17198,0.30617,0.6533,0.000803764,0.000803764,0.000803764
4,87.6235,0.29319,2.64627,0.16021,0.2295,0.9322,0.99818,1,0.995,0.95226,0.93164,0.93333,0.92214,0.41459,0.39065,2.73171,0.15478,0.28884,0.70108,0.00106733,0.00106733,0.00106733
5,111.15,0.30056,2.68357,0.1535,0.23594,0.93236,0.99799,1,0.995,0.89993,0.36646,0.36667,0.23693,0.06035,0.4799,5.37147,0.18823,0.3627,0.72779,0.00132535,0.00132535,0.00132535
6,135.593,0.3223,3.28824,0.15594,0.25462,0.92097,0.99816,1,0.995,0.88443,0.53884,0.53333,0.57478,0.20938,0.53451,3.85079,0.14969,0.37875,0.73335,0.00157783,0.00157783,0.00157783
7,162.988,0.30289,3.22516,0.1549,0.2598,0.92754,0.99821,1,0.995,0.90954,0.79999,0.8,0.75424,0.31187,0.43481,3.10487,0.14315,0.30487,0.68496,0.00182476,0.00182476,0.00182476
8,190.284,0.34335,3.34331,0.16226,0.27004,0.95005,0.98799,1,0.995,0.92103,0.45346,0.43333,0.31647,0.09629,0.48398,4.88797,0.18548,0.37695,0.77061,0.0018614,0.0018614,0.0018614
9,217.871,0.36085,3.22669,0.16995,0.27581,0.98563,0.96621,1,0.995,0.84539,0.57954,0.56667,0.4664,0.13199,0.63978,4.6151,0.19333,0.50071,0.923,0.0018416,0.0018416,0.0018416
10,241.465,0.3031,3.01895,0.16222,0.27137,0.92488,0.99517,1,0.995,0.78206,0.72964,0.73333,0.6218,0.24815,0.68294,3.46451,0.19059,0.5009,0.98366,0.0018218,0.0018218,0.0018218
