epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.821,1.80403,1.00805,1.04399,0.66839,0.64328,0.66312,0.26134,2.22921,1.71691,1.06401,0.003,0.003,0.003
2,428.807,2.01628,1.23808,1.06323,0.80364,0.57447,0.62311,0.24244,2.3039,1.57691,1.07834,0.00292732,0.00292732,0.00292732
3,635.259,1.94301,1.14194,1.04465,0.86738,0.53723,0.66297,0.26899,2.28064,1.59475,1.07459,0.00271639,0.00271639,0.00271639
4,841.819,1.88206,1.12237,1.04482,0.72432,0.54787,0.62162,0.28303,2.10941,1.70951,1.04531,0.00238786,0.00238786,0.00238786
5,1048.61,1.86889,1.03869,1.0385,0.82127,0.6355,0.70823,0.32849,2.05082,1.37124,1.03867,0.00197389,0.00197389,0.00197389
6,1255.08,1.87224,1.01609,1.0457,0.89342,0.54255,0.69505,0.32163,2.0121,1.52795,1.03461,0.001515,0.001515,0.001515
7,1461.54,1.81806,0.96046,1.0506,0.81322,0.59574,0.69626,0.31939,2.15223,1.66817,1.05007,0.00105611,0.00105611,0.00105611
8,1668.23,1.77061,0.92819,1.04635,0.91124,0.60071,0.73231,0.34495,1.98829,1.39472,1.03267,0.000642139,0.000642139,0.000642139
9,1876.06,1.69066,0.86354,1.01672,0.87247,0.60638,0.72149,0.34432,2.01991,1.52619,1.03613,0.00031361,0.00031361,0.00031361
10,2082.81,1.69911,0.90003,1.034,0.87528,0.63458,0.74444,0.36778,1.99,1.42936,1.03513,0.000102681,0.000102681,0.000102681
