epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.512,0.89096,0.83099,0.88298,0.94006,0.90092,0.96415,0.63355,0.89517,0.86904,0.87104,0.00084,0.00084,0.00084
2,208.181,0.90764,0.8612,0.88187,0.94083,0.90455,0.9616,0.62993,0.88773,0.9073,0.8698,0.00149593,0.00149593,0.00149593
3,294.338,0.90707,0.87029,0.88308,0.90281,0.85482,0.93472,0.59445,0.91307,1.06682,0.87818,0.00148377,0.00148377,0.00148377
4,378.193,0.90308,0.87298,0.88392,0.92451,0.8879,0.9461,0.61083,0.87737,1.01473,0.87287,0.00146366,0.00146366,0.00146366
5,462.079,0.89965,0.86608,0.8823,0.95139,0.90073,0.9603,0.61367,0.92093,0.89687,0.87865,0.00143581,0.00143581,0.00143581
6,547.493,0.87371,0.83989,0.88103,0.93877,0.89515,0.95897,0.61302,0.93426,0.96196,0.8857,0.00140052,0.00140052,0.00140052
7,635.062,0.87966,0.84252,0.88014,0.96809,0.91361,0.97092,0.65145,0.85875,0.83629,0.86657,0.0013582,0.0013582,0.0013582
8,724.015,0.86753,0.82315,0.87648,0.96344,0.91119,0.97111,0.66309,0.84955,0.83359,0.86497,0.00130929,0.00130929,0.00130929
9,810.663,0.84877,0.81035,0.87415,0.95117,0.90965,0.96146,0.64248,0.83982,0.85694,0.86626,0.00125433,0.00125433,0.00125433
10,895.574,0.83402,0.79822,0.87232,0.9509,0.8918,0.96345,0.63904,0.84842,0.84496,0.86404,0.00119393,0.00119393,0.00119393
11,983.551,0.82713,0.78417,0.87146,0.96622,0.92516,0.97271,0.68253,0.7903,0.78456,0.86153,0.00112875,0.00112875,0.00112875
12,1072.67,0.82323,0.78678,0.87155,0.97287,0.90008,0.96748,0.6213,0.93511,0.8525,0.86747,0.0010595,0.0010595,0.0010595
13,1159.35,0.82612,0.77817,0.8725,0.96692,0.92911,0.97628,0.69317,0.78779,0.80129,0.8599,0.000986945,0.000986945,0.000986945
14,1246.38,0.79726,0.75842,0.86786,0.96251,0.91641,0.97237,0.68248,0.79385,0.79443,0.86029,0.000911874,0.000911874,0.000911874
15,1331.14,0.80146,0.758,0.86805,0.96177,0.91202,0.97382,0.69058,0.78473,0.77542,0.86051,0.000835112,0.000835112,0.000835112
16,1416.63,0.78702,0.73904,0.86651,0.97303,0.92567,0.9757,0.68368,0.80275,0.7882,0.85801,0.0007575,0.0007575,0.0007575
17,1502.53,0.77322,0.73242,0.86488,0.94422,0.93461,0.97714,0.68077,0.80907,0.77909,0.8655,0.000679888,0.000679888,0.000679888
18,1589.07,0.76845,0.72818,0.86469,0.98116,0.92922,0.97863,0.71309,0.73673,0.73042,0.85638,0.000603126,0.000603126,0.000603126
19,1675.55,0.75595,0.71466,0.86309,0.9641,0.9275,0.9772,0.70623,0.75709,0.74379,0.85664,0.000528055,0.000528055,0.000528055
20,1760.15,0.75484,0.70867,0.86161,0.97191,0.92633,0.9779,0.70036,0.76447,0.73012,0.85707,0.000455498,0.000455498,0.000455498
21,1848.65,0.70715,0.6748,0.85553,0.97394,0.92694,0.97995,0.71459,0.73134,0.72619,0.85364,0.00038625,0.00038625,0.00038625
22,1932.76,0.69276,0.66267,0.85262,0.9687,0.92861,0.98133,0.71672,0.73828,0.7207,0.85404,0.000321069,0.000321069,0.000321069
23,2015.48,0.67899,0.65026,0.85054,0.9681,0.93196,0.97951,0.71822,0.72246,0.70701,0.85365,0.000260671,0.000260671,0.000260671
24,2098.19,0.67498,0.64178,0.85033,0.97887,0.92998,0.9793,0.72526,0.71458,0.69595,0.85296,0.000205715,0.000205715,0.000205715
25,2180.37,0.66615,0.63576,0.84961,0.97742,0.91727,0.97852,0.72213,0.722,0.7,0.85386,0.000156805,0.000156805,0.000156805
26,2263.08,0.66163,0.63222,0.84901,0.97089,0.92805,0.98048,0.72618,0.7104,0.69478,0.85283,0.000114476,0.000114476,0.000114476
27,2345.55,0.65436,0.62332,0.84894,0.97041,0.93273,0.9809,0.72783,0.70818,0.68659,0.8522,7.91925e-05,7.91925e-05,7.91925e-05
28,2428.49,0.65013,0.62062,0.84626,0.98101,0.9218,0.98165,0.7322,0.7065,0.67975,0.85226,5.13405e-05,5.13405e-05,5.13405e-05
29,2514.42,0.64681,0.61915,0.84624,0.97827,0.92025,0.98066,0.72956,0.70747,0.68159,0.85259,3.12254e-05,3.12254e-05,3.12254e-05
30,2597.49,0.64349,0.61362,0.84613,0.96945,0.93307,0.98046,0.72731,0.70838,0.68311,0.85289,1.90675e-05,1.90675e-05,1.90675e-05
