epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.344,2.18655,1.69702,1.02405,0.71346,0.43706,0.50565,0.19118,2.4301,1.73362,1.05438,0.00088,0.00088,0.00088
2,155.236,2.31311,1.66035,1.02944,0.66898,0.43085,0.48125,0.1656,2.65089,1.8565,1.06567,0.00160378,0.00160378,0.00160378
3,209.25,2.37965,1.58872,1.04897,0.73621,0.41568,0.49363,0.18252,2.45683,1.73132,1.06328,0.001604,0.001604,0.001604
4,263.656,2.38047,1.64465,1.03407,0.71954,0.42553,0.51547,0.22188,2.17813,1.52091,1.04641,0.001406,0.001406,0.001406
5,318.445,2.21502,1.55496,1.02428,0.72128,0.42673,0.49697,0.19088,2.3846,1.59388,1.0576,0.001208,0.001208,0.001208
6,374.168,2.1454,1.39446,1.02197,0.69711,0.43617,0.50992,0.20402,2.39586,1.58315,1.05036,0.00101,0.00101,0.00101
7,428.812,2.15107,1.34908,1.01834,0.68895,0.40058,0.47498,0.20524,2.29543,1.64331,1.04996,0.000812,0.000812,0.000812
8,483.36,2.12644,1.23288,1.01633,0.70954,0.4734,0.5313,0.2044,2.5128,1.44736,1.05651,0.000614,0.000614,0.000614
9,538.309,2.06777,1.24116,1.00813,0.85415,0.43613,0.55473,0.24551,2.23119,1.40881,1.04503,0.000416,0.000416,0.000416
10,592.862,2.0401,1.28613,1.01934,0.76539,0.46277,0.57963,0.27064,2.1848,1.36793,1.03906,0.000218,0.000218,0.000218
