epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.829,1.64368,0.79749,1.02365,0.80166,0.58511,0.69483,0.29266,2.24118,1.55263,1.06134,0.002,0.002,0.002
2,512.065,1.81748,0.95604,1.02149,0.8539,0.62177,0.70592,0.32879,2.08022,1.60842,1.05099,0.001802,0.001802,0.001802
3,717.838,1.85455,0.92431,1.03918,0.85288,0.60638,0.70894,0.33141,2.05633,1.41627,1.04545,0.001604,0.001604,0.001604
4,923.079,1.71934,0.88596,1.02523,0.78991,0.60638,0.67411,0.31456,2.02682,1.49776,1.04066,0.001406,0.001406,0.001406
5,1128.71,1.74022,0.85036,1.02779,0.86548,0.54755,0.65903,0.29973,2.11778,1.65506,1.04952,0.001208,0.001208,0.001208
6,1334.64,1.69958,0.86441,1.01956,0.91875,0.63298,0.74683,0.36125,1.97209,1.43831,1.03022,0.00101,0.00101,0.00101
7,1541.62,1.65118,0.8325,1.01911,0.88286,0.64145,0.74429,0.34404,1.99657,1.51289,1.03088,0.000812,0.000812,0.000812
8,1749.78,1.62809,0.77864,1.01392,0.86337,0.69681,0.7783,0.34105,2.03144,1.30077,1.03645,0.000614,0.000614,0.000614
9,1956.27,1.63926,0.7808,1.01055,0.88105,0.70919,0.78753,0.35206,1.984,1.27926,1.03043,0.000416,0.000416,0.000416
10,2162.24,1.63227,0.77134,1.01679,0.85561,0.67553,0.74974,0.34689,1.99565,1.28282,1.03122,0.000218,0.000218,0.000218
