epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,314.233,0.22406,2.22915,0.13017,0.2022,0.88934,0.99824,1,0.995,0.96265,0.99824,1,0.995,0.50829,0.35156,2.20296,0.12957,0.26838,0.65352,0.0017624,0.0017624,0.0017624
14,341.62,0.22756,2.35537,0.12897,0.21422,0.87855,0.99826,1,0.995,0.93781,0.93193,0.93333,0.95567,0.36908,0.36083,2.98055,0.13797,0.26969,0.64265,0.0017426,0.0017426,0.0017426
15,362.926,0.20614,2.24246,0.13254,0.19882,0.87612,0.99826,1,0.995,0.9585,0.93171,0.93333,0.90923,0.43941,0.33199,2.50675,0.1411,0.26929,0.6184,0.0017228,0.0017228,0.0017228
16,384.482,0.19442,2.16047,0.13856,0.1894,0.8749,1,1,0.995,0.93011,0.66667,0.66667,0.65809,0.342,0.35408,3.20584,0.13674,0.27481,0.63276,0.001703,0.001703,0.001703
17,410.769,0.21591,2.36848,0.13941,0.20652,0.86542,0.99822,1,0.995,0.91385,0.8984,0.9,0.8795,0.37509,0.38316,2.57896,0.12684,0.26899,0.63247,0.0016832,0.0016832,0.0016832
18,437.109,0.204,2.2455,0.13067,0.1949,0.88711,0.99829,1,0.995,0.94793,0.93174,0.93333,0.91678,0.42228,0.3353,2.39889,0.14013,0.25509,0.61798,0.0016634,0.0016634,0.0016634
19,459.025,0.20387,2.33594,0.14271,0.19274,0.86804,0.99829,1,0.995,0.96111,0.96501,0.96667,0.95082,0.49342,0.33431,2.35384,0.13473,0.24298,0.62155,0.0016436,0.0016436,0.0016436
20,483.153,0.20113,2.32121,0.13518,0.19934,0.88541,0.99827,1,0.995,0.97022,0.99827,1,0.995,0.54634,0.3319,2.36548,0.13753,0.27147,0.6253,0.0016238,0.0016238,0.0016238
21,510.329,0.2051,2.43075,0.14126,0.19362,0.87239,0.99826,1,0.995,0.93567,0.99826,1,0.995,0.58196,0.33852,2.0051,0.13172,0.26392,0.63475,0.001604,0.001604,0.001604
22,537.882,0.21281,2.07189,0.135,0.18808,0.88556,0.99828,1,0.995,0.94746,0.965,0.96667,0.95848,0.54467,0.35851,2.04262,0.13038,0.26916,0.642,0.0015842,0.0015842,0.0015842
23,565.382,0.19387,2.05363,0.13062,0.18264,0.87904,0.99829,1,0.995,0.94208,0.7986,0.8,0.73608,0.38872,0.36747,2.50622,0.14213,0.25344,0.64395,0.0015644,0.0015644,0.0015644
24,588.417,0.19907,2.07736,0.12085,0.18806,0.89379,1,1,0.995,0.96644,0.9,0.9,0.9015,0.36239,0.29496,2.81662,0.12919,0.22066,0.59675,0.0015446,0.0015446,0.0015446
25,620.024,0.18521,2.01759,0.12012,0.1781,0.87117,0.99824,1,0.995,0.95787,0.93169,0.93333,0.93736,0.56984,0.30015,1.99576,0.1226,0.2579,0.59083,0.0015248,0.0015248,0.0015248
26,642.675,0.19896,1.97989,0.13643,0.18141,0.87251,0.99815,1,0.995,0.95237,0.96488,0.96667,0.97417,0.60211,0.33897,2.01165,0.12964,0.23613,0.6403,0.001505,0.001505,0.001505
27,667.37,0.19187,2.17811,0.1271,0.18259,0.87246,1,1,0.995,0.94658,0.96667,0.96667,0.9534,0.44477,0.4137,2.51184,0.14536,0.25085,0.6979,0.0014852,0.0014852,0.0014852
28,688.273,0.19856,2.09327,0.13625,0.18253,0.87329,0.99826,1,0.995,0.9705,0.9319,0.93333,0.93705,0.45506,0.30487,2.57102,0.14089,0.24066,0.61404,0.0014654,0.0014654,0.0014654
29,713.336,0.2029,2.11719,0.12845,0.19109,0.87737,1,1,0.995,0.93254,0.96667,0.96667,0.95907,0.54216,0.37712,2.14739,0.14023,0.24021,0.68173,0.0014456,0.0014456,0.0014456
30,740.711,0.20309,2.13285,0.13056,0.18639,0.87864,1,1,0.995,0.97385,1,1,0.995,0.59633,0.30383,1.88788,0.12768,0.22661,0.63307,0.0014258,0.0014258,0.0014258
31,770.299,0.20586,1.96501,0.13172,0.18703,0.88478,0.99828,1,0.995,0.9392,0.99828,1,0.995,0.58089,0.34274,1.97837,0.14486,0.25295,0.6457,0.001406,0.001406,0.001406
32,793.453,0.17542,1.93041,0.12431,0.18051,0.86075,0.99832,1,0.995,0.96972,0.99832,1,0.995,0.5969,0.31358,1.89957,0.13544,0.23868,0.62496,0.0013862,0.0013862,0.0013862
33,819.916,0.16688,1.90403,0.13039,0.17333,0.86308,0.99832,1,0.995,0.95905,0.99832,1,0.995,0.59334,0.33418,1.91555,0.12757,0.22626,0.65088,0.0013664,0.0013664,0.0013664
34,847.672,0.17567,1.82692,0.12031,0.17744,0.89301,0.99705,1,0.995,0.95471,0.96482,0.96667,0.98082,0.57137,0.33948,2.16201,0.14739,0.24595,0.68714,0.0013466,0.0013466,0.0013466
35,871.024,0.17853,1.92394,0.1342,0.17984,0.87257,0.99809,1,0.995,0.93839,0.99809,1,0.995,0.62628,0.38044,1.81066,0.14275,0.28318,0.69802,0.0013268,0.0013268,0.0013268
36,896.45,0.19634,1.94915,0.13042,0.17868,0.88189,1,1,0.995,0.97974,1,1,0.995,0.64493,0.28546,1.71051,0.11973,0.22146,0.60035,0.001307,0.001307,0.001307
37,925.626,0.18385,1.87165,0.13019,0.1775,0.857,1,1,0.995,0.9576,0.96667,0.96667,0.96007,0.53916,0.3524,2.08091,0.11839,0.22681,0.63632,0.0012872,0.0012872,0.0012872
38,949.343,0.17934,1.79267,0.12226,0.1787,0.87348,1,1,0.995,0.98353,1,1,0.995,0.62633,0.26759,1.9517,0.11923,0.23577,0.57617,0.0012674,0.0012674,0.0012674
39,976.473,0.17954,1.89881,0.1233,0.174,0.88007,1,1,0.995,0.98447,0.96667,0.96667,0.96007,0.50423,0.28809,2.26037,0.13036,0.29618,0.60517,0.0012476,0.0012476,0.0012476
40,1005.85,0.17693,2.04683,0.12649,0.1743,0.87469,1,1,0.995,0.95452,0.93333,0.93333,0.9264,0.53811,0.32607,2.19413,0.13006,0.24761,0.62475,0.0012278,0.0012278,0.0012278
41,1036.09,0.18658,1.84443,0.12996,0.18022,0.87841,1,1,0.995,0.95819,0.96667,0.96667,0.95673,0.58304,0.31807,1.91209,0.11936,0.23768,0.62439,0.001208,0.001208,0.001208
42,1058.23,0.16411,2.03179,0.13877,0.16577,0.85651,1,1,0.995,0.97655,1,1,0.995,0.66917,0.29583,1.65175,0.11915,0.24059,0.60141,0.0011882,0.0011882,0.0011882
43,1094.32,0.17405,1.8948,0.12981,0.16581,0.86396,1,1,0.995,0.97544,0.93333,0.93333,0.9142,0.61761,0.29215,1.9149,0.128,0.20925,0.60899,0.0011684,0.0011684,0.0011684
44,1117.99,0.18437,1.79662,0.12095,0.17748,0.88059,1,1,0.995,0.96387,0.96667,0.96667,0.96907,0.59121,0.3291,1.96772,0.12636,0.24628,0.61441,0.0011486,0.0011486,0.0011486
45,1141.9,0.20443,1.8407,0.12255,0.17591,0.88113,1,1,0.995,0.95829,0.96667,0.96667,0.96673,0.60403,0.29808,1.88962,0.12406,0.22401,0.59558,0.0011288,0.0011288,0.0011288
46,1163.03,0.1998,2.06916,0.12138,0.17837,0.87291,1,1,0.995,0.98263,0.93333,0.93333,0.94113,0.6227,0.28795,1.81065,0.12437,0.21354,0.57565,0.001109,0.001109,0.001109
47,1189.7,0.19875,1.90874,0.13545,0.18046,0.86065,1,1,0.995,0.97506,1,1,0.995,0.59807,0.29122,1.99727,0.11738,0.21848,0.58645,0.0010892,0.0010892,0.0010892
48,1213.32,0.17008,1.82371,0.1273,0.17043,0.87012,1,1,0.995,0.96454,1,1,0.995,0.60928,0.30361,1.89065,0.12048,0.21152,0.60666,0.0010694,0.0010694,0.0010694
49,1234.76,0.17536,1.87194,0.134,0.17657,0.85817,1,1,0.995,0.96061,0.96667,0.96667,0.9634,0.53254,0.28068,2.03391,0.13095,0.21637,0.59144,0.0010496,0.0010496,0.0010496
50,1262.42,0.1792,1.86456,0.1302,0.17516,0.87413,1,1,0.995,0.96466,1,1,0.995,0.59552,0.32613,1.75316,0.13085,0.27045,0.63661,0.0010298,0.0010298,0.0010298
51,1286.19,0.17264,1.86393,0.12337,0.17207,0.84787,1,1,0.995,0.94904,1,1,0.995,0.61907,0.31467,1.92334,0.14474,0.26737,0.63945,0.00101,0.00101,0.00101
52,1309.3,0.17596,1.86614,0.12658,0.17101,0.87205,1,1,0.995,0.96972,1,1,0.995,0.56912,0.32526,1.98027,0.1328,0.24777,0.62504,0.0009902,0.0009902,0.0009902
53,1332.25,0.16954,1.75592,0.12348,0.16255,0.87196,1,1,0.995,0.97106,1,1,0.995,0.64736,0.28364,1.80046,0.12108,0.21688,0.60598,0.0009704,0.0009704,0.0009704
54,1353.76,0.17642,1.75253,0.13033,0.17006,0.86905,1,1,0.995,0.94861,1,1,0.995,0.61846,0.31316,1.73006,0.12117,0.2491,0.59751,0.0009506,0.0009506,0.0009506
55,1377.72,0.16837,1.71407,0.12778,0.16194,0.85696,1,1,0.995,0.9846,0.96667,0.96667,0.96673,0.59517,0.26835,1.97716,0.12162,0.22495,0.58122,0.0009308,0.0009308,0.0009308
56,1403.53,0.17002,1.72525,0.11611,0.1566,0.85714,0.99827,1,0.995,0.98778,0.96499,0.96667,0.95898,0.63734,0.27684,1.79613,0.12128,0.21517,0.57746,0.000911,0.000911,0.000911
57,1428.52,0.16075,1.70892,0.11993,0.15201,0.86279,1,1,0.995,0.97894,1,1,0.995,0.66129,0.29517,1.75905,0.12952,0.2191,0.58743,0.0008912,0.0008912,0.0008912
58,1453.55,0.15503,1.66657,0.12938,0.15451,0.84778,1,1,0.995,0.97355,0.96667,0.96667,0.95573,0.58131,0.28105,1.96614,0.13019,0.23209,0.5819,0.0008714,0.0008714,0.0008714
59,1477.4,0.15495,1.67931,0.11507,0.15203,0.87033,1,1,0.995,0.97834,1,1,0.995,0.66443,0.27883,1.76596,0.123,0.20762,0.57954,0.0008516,0.0008516,0.0008516
60,1503.26,0.15278,1.62673,0.11962,0.15281,0.84314,1,1,0.995,0.96443,1,1,0.995,0.71352,0.32683,1.66975,0.1202,0.21256,0.61087,0.0008318,0.0008318,0.0008318
61,1530.84,0.15897,1.55425,0.12856,0.15078,0.86114,1,1,0.995,0.97438,1,1,0.995,0.69554,0.29678,1.67732,0.12171,0.20761,0.58459,0.000812,0.000812,0.000812
62,1557.23,0.15463,1.62679,0.12972,0.16237,0.86352,1,1,0.995,0.95701,1,1,0.995,0.70701,0.31723,1.62493,0.12118,0.25611,0.61534,0.0007922,0.0007922,0.0007922
63,1585.48,0.16564,1.65629,0.11705,0.16422,0.85681,1,1,0.995,0.95184,1,1,0.995,0.63873,0.31495,1.76983,0.11124,0.2284,0.61888,0.0007724,0.0007724,0.0007724
64,1618.13,0.15997,1.62193,0.12086,0.15333,0.87156,0.99822,1,0.995,0.97106,0.99822,1,0.995,0.69149,0.31773,1.66156,0.11279,0.23431,0.60054,0.0007526,0.0007526,0.0007526
65,1639.63,0.14363,1.64765,0.12028,0.15162,0.83442,1,1,0.995,0.95522,1,1,0.995,0.6442,0.30734,1.7996,0.12042,0.22546,0.58962,0.0007328,0.0007328,0.0007328
66,1667.26,0.14948,1.54963,0.12582,0.14994,0.85036,1,1,0.995,0.99207,1,1,0.995,0.67754,0.27744,1.6736,0.11187,0.23078,0.58144,0.000713,0.000713,0.000713
67,1689.42,0.15245,1.48806,0.1261,0.14942,0.85307,1,1,0.995,0.98332,1,1,0.995,0.64307,0.27628,1.65015,0.11556,0.21744,0.58092,0.0006932,0.0006932,0.0006932
68,1715.65,0.14679,1.55258,0.12263,0.15022,0.84267,1,1,0.995,0.96302,1,1,0.995,0.67152,0.2791,1.64395,0.13161,0.21735,0.57671,0.0006734,0.0006734,0.0006734
69,1741.48,0.14858,1.51548,0.12309,0.1531,0.85474,0.99833,1,0.995,0.96375,0.99833,1,0.995,0.6683,0.28305,1.63456,0.1222,0.22988,0.57306,0.0006536,0.0006536,0.0006536
70,1763.64,0.15886,1.48661,0.11939,0.15787,0.85692,1,1,0.995,0.97638,1,1,0.995,0.69463,0.28352,1.5984,0.12277,0.24448,0.57641,0.0006338,0.0006338,0.0006338
71,1789.17,0.15957,1.5255,0.1216,0.15568,0.86414,1,1,0.995,0.97428,1,1,0.995,0.69101,0.27763,1.53567,0.1257,0.25808,0.57393,0.000614,0.000614,0.000614
72,1810.74,0.14528,1.44955,0.1219,0.14911,0.86594,1,1,0.995,0.95279,1,1,0.995,0.71701,0.33183,1.47572,0.13515,0.25131,0.62073,0.0005942,0.0005942,0.0005942
73,1836.68,0.16084,1.48083,0.12203,0.15398,0.84545,1,1,0.995,0.9649,0.96667,0.96667,0.95807,0.67227,0.3012,1.69757,0.13221,0.23179,0.5964,0.0005744,0.0005744,0.0005744
74,1858.24,0.1524,1.48231,0.11429,0.1536,0.85838,1,1,0.995,0.9648,1,1,0.995,0.67616,0.29691,1.6385,0.1231,0.24313,0.58257,0.0005546,0.0005546,0.0005546
75,1885.94,0.14329,1.54038,0.12462,0.15197,0.85413,1,1,0.995,0.97803,1,1,0.995,0.693,0.25371,1.58274,0.1248,0.23093,0.55807,0.0005348,0.0005348,0.0005348
76,1908.18,0.14843,1.44465,0.12221,0.15078,0.84279,1,1,0.995,0.96979,1,1,0.995,0.73437,0.26049,1.45646,0.11639,0.20423,0.55262,0.000515,0.000515,0.000515
77,1942.33,0.14547,1.44617,0.12038,0.14935,0.84773,1,1,0.995,0.97579,1,1,0.995,0.71498,0.26985,1.5468,0.12112,0.19098,0.55767,0.0004952,0.0004952,0.0004952
78,1965.79,0.13587,1.38192,0.11543,0.14726,0.84991,1,1,0.995,0.97683,1,1,0.995,0.7089,0.26997,1.56034,0.11698,0.19476,0.57043,0.0004754,0.0004754,0.0004754
79,1986.8,0.13408,1.50199,0.12283,0.1425,0.85652,1,1,0.995,0.98309,0.96667,0.96667,0.96807,0.69015,0.2764,1.76987,0.12365,0.19371,0.57675,0.0004556,0.0004556,0.0004556
80,2013.45,0.14031,1.49991,0.12166,0.14175,0.86381,1,1,0.995,0.98683,1,1,0.995,0.72965,0.26271,1.50182,0.1211,0.20957,0.56531,0.0004358,0.0004358,0.0004358
81,2044.65,0.1311,1.42355,0.12195,0.14017,0.8493,1,1,0.995,0.98203,0.96667,0.96667,0.95907,0.66608,0.26528,1.69309,0.12857,0.20424,0.56388,0.000416,0.000416,0.000416
82,2068.11,0.13214,1.40639,0.11726,0.13523,0.85509,1,1,0.995,0.97847,0.96667,0.96667,0.96007,0.70231,0.27304,1.56104,0.12574,0.20989,0.56807,0.0003962,0.0003962,0.0003962
83,2089.5,0.13779,1.39774,0.11263,0.13515,0.84096,1,1,0.995,0.98858,1,1,0.995,0.70557,0.24307,1.55549,0.12519,0.21337,0.55121,0.0003764,0.0003764,0.0003764
84,2122.52,0.13014,1.42311,0.11629,0.13322,0.85073,1,1,0.995,0.98634,1,1,0.995,0.72028,0.23759,1.43265,0.11854,0.21639,0.54686,0.0003566,0.0003566,0.0003566
85,2149.48,0.13072,1.41017,0.1185,0.13315,0.84168,1,1,0.995,0.98435,1,1,0.995,0.70655,0.24057,1.56013,0.12103,0.21148,0.55093,0.0003368,0.0003368,0.0003368
86,2173.94,0.12969,1.32347,0.11727,0.13408,0.84795,1,1,0.995,0.97594,1,1,0.995,0.73961,0.27604,1.546,0.11909,0.19312,0.57665,0.000317,0.000317,0.000317
87,2196.7,0.13082,1.29379,0.10957,0.13254,0.82979,1,1,0.995,0.98386,0.96667,0.96667,0.9714,0.72673,0.25777,1.53834,0.1163,0.19141,0.56634,0.0002972,0.0002972,0.0002972
88,2217.84,0.13585,1.31772,0.1205,0.13764,0.85715,1,1,0.995,0.98867,0.96667,0.96667,0.9714,0.72728,0.25704,1.49038,0.1168,0.21263,0.56823,0.0002774,0.0002774,0.0002774
89,2245.33,0.12251,1.27878,0.11371,0.1351,0.84255,1,1,0.995,0.9816,0.96667,0.96667,0.96473,0.72058,0.26698,1.54746,0.11741,0.22145,0.57551,0.0002576,0.0002576,0.0002576
90,2272.7,0.13296,1.32001,0.11259,0.13433,0.84273,1,1,0.995,0.97997,0.96667,0.96667,0.9624,0.70184,0.26203,1.53322,0.11929,0.19008,0.55844,0.0002378,0.0002378,0.0002378
91,2303.51,0.12605,1.33517,0.1163,0.13266,0.83479,1,1,0.995,0.97952,0.96667,0.96667,0.96907,0.71485,0.25598,1.55866,0.12077,0.18058,0.54835,0.000218,0.000218,0.000218
92,2325.21,0.12273,1.35018,0.10827,0.12727,0.85453,1,1,0.995,0.98462,1,1,0.995,0.74204,0.25891,1.49211,0.11937,0.18922,0.54541,0.0001982,0.0001982,0.0001982
93,2357.38,0.12889,1.35304,0.11564,0.12655,0.83764,1,1,0.995,0.98,1,1,0.995,0.72572,0.25664,1.46532,0.11898,0.19298,0.54799,0.0001784,0.0001784,0.0001784
94,2381.23,0.12007,1.2647,0.11331,0.12016,0.83639,1,1,0.995,0.97966,1,1,0.995,0.72209,0.25775,1.47848,0.11844,0.1944,0.54625,0.0001586,0.0001586,0.0001586
95,2405.82,0.12086,1.27652,0.1139,0.12231,0.84874,1,1,0.995,0.98,1,1,0.995,0.74277,0.25462,1.46542,0.1167,0.19013,0.54332,0.0001388,0.0001388,0.0001388
96,2432.68,0.11736,1.30125,0.1077,0.11874,0.86423,1,1,0.995,0.97447,1,1,0.995,0.75375,0.25975,1.43295,0.11796,0.20115,0.55094,0.000119,0.000119,0.000119
97,2464.06,0.11984,1.34845,0.11286,0.12491,0.85537,1,1,0.995,0.9635,1,1,0.995,0.74874,0.26556,1.43233,0.11716,0.20222,0.5544,9.92e-05,9.92e-05,9.92e-05
98,2494.82,0.12579,1.28575,0.11861,0.1268,0.84236,1,1,0.995,0.9708,1,1,0.995,0.74444,0.26407,1.42353,0.11727,0.19613,0.55296,7.94e-05,7.94e-05,7.94e-05
99,2516.56,0.12606,1.31524,0.10772,0.12119,0.86692,1,1,0.995,0.97289,1,1,0.995,0.73943,0.25976,1.41682,0.11698,0.19382,0.55,5.96e-05,5.96e-05,5.96e-05
100,2540.28,0.11475,1.33828,0.1143,0.12013,0.84645,1,1,0.995,0.98197,1,1,0.995,0.73279,0.25799,1.41268,0.1168,0.19461,0.54951,3.98e-05,3.98e-05,3.98e-05
