epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5297,0.13639,1.47268,0.13218,0.13875,0.84989,1,1,0.995,0.97105,1,1,0.995,0.65184,0.28385,1.71191,0.11956,0.23611,0.58218,0.00026,0.00026,0.00026
2,46.0746,0.16354,1.68886,0.1256,0.15469,0.8707,1,1,0.995,0.96527,1,1,0.995,0.60499,0.31763,1.82672,0.13219,0.27826,0.59931,0.000534654,0.000534654,0.000534654
3,67.3753,0.18179,1.77421,0.1256,0.17541,0.86529,1,1,0.995,0.97336,1,1,0.995,0.57639,0.27167,1.88009,0.12786,0.22767,0.58517,0.000803764,0.000803764,0.000803764
4,93.2448,0.19839,1.8233,0.14082,0.19044,0.88609,0.99825,1,0.995,0.97225,0.99825,1,0.995,0.64143,0.30429,1.84901,0.12713,0.24542,0.60923,0.00106733,0.00106733,0.00106733
5,120.182,0.18753,1.94162,0.12764,0.18605,0.87853,0.99824,1,0.995,0.95799,0.86511,0.86667,0.86989,0.51017,0.33265,2.44973,0.13851,0.2637,0.62291,0.00132535,0.00132535,0.00132535
6,142.198,0.20915,2.04392,0.1286,0.20049,0.86822,0.99826,1,0.995,0.95294,0.93171,0.93333,0.90256,0.4564,0.33826,2.52728,0.12408,0.24859,0.60185,0.00157783,0.00157783,0.00157783
7,166.882,0.2125,2.54611,0.12996,0.19927,0.8806,0.99483,1,0.995,0.93673,0.79864,0.8,0.85006,0.34618,0.37021,3.04741,0.1319,0.30087,0.65536,0.00182476,0.00182476,0.00182476
8,188.686,0.21315,2.54901,0.13345,0.20248,0.88731,0.99824,1,0.995,0.95364,0.89842,0.9,0.90612,0.47167,0.33783,2.69096,0.16477,0.29989,0.67263,0.0018614,0.0018614,0.0018614
9,212.591,0.23187,2.4243,0.13617,0.20532,0.91328,1,1,0.995,0.93157,1,1,0.995,0.49616,0.39332,2.29927,0.15443,0.26369,0.68007,0.0018416,0.0018416,0.0018416
10,241.876,0.21715,2.32685,0.1371,0.20209,0.87199,0.99824,1,0.995,0.92536,0.93169,0.93333,0.93889,0.52457,0.41,2.2085,0.145,0.34218,0.68427,0.0018218,0.0018218,0.0018218
11,263.919,0.23239,2.16567,0.13083,0.22204,0.88934,0.99824,1,0.995,0.93948,0.96588,0.96667,0.98184,0.51858,0.37665,2.28779,0.13405,0.26459,0.69092,0.001802,0.001802,0.001802
12,288.28,0.22049,1.99859,0.13857,0.2072,0.88962,1,1,0.995,0.93673,0.86667,0.86667,0.80882,0.38951,0.42153,2.85501,0.1341,0.25661,0.68753,0.0017822,0.0017822,0.0017822
