epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.066,1.19243,2.08996,0.93536,0.73506,0.7401,0.79152,0.39401,1.30872,1.47107,0.94782,0.00149123,0.00149123,0.00149123
2,227.692,1.06831,1.22027,0.91644,0.90531,0.88511,0.9341,0.52466,1.1088,1.12124,0.89452,0.00146366,0.00146366,0.00146366
3,311.334,0.98311,1.07031,0.89877,0.90844,0.89459,0.94589,0.57813,0.96088,0.99495,0.88079,0.0013582,0.0013582,0.0013582
4,394.658,0.92616,0.97284,0.88846,0.90755,0.89961,0.95156,0.58032,0.94391,0.95606,0.88239,0.00119393,0.00119393,0.00119393
5,480.791,0.89549,0.92557,0.88328,0.93803,0.8948,0.94479,0.60741,0.90654,0.91902,0.87665,0.000986945,0.000986945,0.000986945
6,565.174,0.87646,0.88309,0.87913,0.93894,0.91767,0.9628,0.63234,0.86942,0.88317,0.8675,0.0007575,0.0007575,0.0007575
7,649.66,0.83801,0.83423,0.87347,0.93963,0.91411,0.96586,0.64606,0.86471,0.84582,0.8673,0.000528055,0.000528055,0.000528055
8,732.668,0.80714,0.80401,0.86881,0.94632,0.92582,0.96926,0.65053,0.84264,0.82911,0.86482,0.000321069,0.000321069,0.000321069
9,817.939,0.7893,0.78236,0.86752,0.95015,0.91299,0.96922,0.66114,0.82114,0.80378,0.86372,0.000156805,0.000156805,0.000156805
10,903.65,0.77741,0.7638,0.86572,0.95713,0.90898,0.96922,0.66566,0.81143,0.80277,0.86248,5.13405e-05,5.13405e-05,5.13405e-05
