epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.614,2.87768,51.697,0.98779,0.06858,0.02128,0.00854,0.00145,3.73078,28.8632,1.12923,0.002,0.002,0.002
2,170.194,3.00405,31.7537,1.0168,0.52763,0.30319,0.27531,0.07769,3.1244,8.80439,1.08754,0.001802,0.001802,0.001802
3,234.614,2.75187,20.9715,0.99373,0.70617,0.25,0.30984,0.10782,3.0283,8.19871,1.08081,0.001604,0.001604,0.001604
4,299.837,2.58362,14.9925,0.97661,0.69228,0.32979,0.37815,0.14195,2.634,7.36619,1.04709,0.001406,0.001406,0.001406
5,363.728,2.55442,11.6089,0.98621,0.74625,0.32447,0.38218,0.11427,2.86304,7.70583,1.05623,0.001208,0.001208,0.001208
6,428.597,2.43864,9.84306,0.95927,0.77659,0.35106,0.40643,0.15062,2.70154,2.61883,1.05467,0.00101,0.00101,0.00101
7,494.007,2.47059,8.34693,0.9796,0.68635,0.3883,0.448,0.15869,2.6216,1.78939,1.04129,0.000812,0.000812,0.000812
8,560.177,2.30045,7.35124,0.96181,0.70074,0.37766,0.44263,0.15836,2.44099,1.74608,1.03406,0.000614,0.000614,0.000614
9,626.213,2.24861,6.53579,0.95552,0.81406,0.3883,0.49116,0.20017,2.24109,1.62912,1.02579,0.000416,0.000416,0.000416
10,690.587,2.26274,6.08142,0.97693,0.70156,0.41265,0.48697,0.20406,2.29951,1.62387,1.02424,0.000218,0.000218,0.000218
