epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5961,2.53593,5.96527,0.9497,0.69887,0.3617,0.38322,0.12699,2.77152,1.87021,1.05453,0.002,0.002,0.002
2,139.873,2.57278,4.51947,0.98361,0.58336,0.35638,0.37773,0.10817,2.832,2.72131,1.05913,0.001802,0.001802,0.001802
3,204.651,2.38497,3.40814,0.96247,0.57037,0.37234,0.39205,0.14991,2.50033,1.71012,1.04184,0.001604,0.001604,0.001604
4,272.78,2.32209,2.76356,0.95499,0.68942,0.42553,0.50132,0.18064,2.3989,1.60158,1.03596,0.001406,0.001406,0.001406
5,337.123,2.27886,2.41476,0.95839,0.77946,0.39894,0.4971,0.20002,2.39233,1.574,1.03055,0.001208,0.001208,0.001208
6,403.556,2.1575,2.21007,0.93778,0.41705,0.42021,0.28925,0.10538,2.43976,2.53114,1.04482,0.00101,0.00101,0.00101
7,468.215,2.17024,2.10594,0.96197,0.45693,0.42021,0.29247,0.10638,2.39713,3.68636,1.0286,0.000812,0.000812,0.000812
8,533.393,2.06688,1.96238,0.94858,0.74272,0.39924,0.50595,0.22459,2.25721,1.57461,1.02505,0.000614,0.000614,0.000614
9,599.416,2.08686,1.85552,0.94921,0.51226,0.45251,0.36007,0.14563,2.25117,1.95495,1.02846,0.000416,0.000416,0.000416
10,664.228,2.08331,1.79307,0.97266,0.678,0.46277,0.52522,0.2312,2.20259,1.4542,1.02117,0.000218,0.000218,0.000218
